SKU,QUANTITY
KL20MBM07_BLU_NAVY_S,22
KL20MBM07_BLU_NAVY_M,1
KL20MBL01_ROSSO_RED_S,31
KL20MBL01_ROSSO_RED_M,66
KL20MBL01_ROSSO_RED_L,64
M1RI36I3Z11_GRIGIO_LHY_XL,12
M1RI36I3Z11_GRIGIO_LHY_2XL,35
18014501013_ROSA_113_34,1
18014501013_ROSA_113_36,2
18014501013_ROSA_113_40,1
19013015134_BLU_410_S,1
1300205011_BIANCO_448_30,3
1300205011_BIANCO_448_31,3
20014202451_BIANCO_105_XS,1
VG787803_ROSA_CORAL_UNI,2
QF1654E_GRIGIO_020_XS,6
YW0YW00014F_NERO_BDS_37,16
YW0YW00014F_NERO_BDS_38,11
YW0YW00014F_NERO_BDS_39,1
60129-41029_BIANCO_101_2XL,8
691583-000_GRIGIO_0926_2XL,1
1203431543_ROSSO_610_40,1
NS01UTR02_BIANCO_WHITE_S,10
19014150025_ROSA_659_32,1
19014150025_ROSA_659_34,1
19014301066_BLU_423_36,1
1901205007_AZZURRO_420_29,1
1303486329_VERDE_334_XS,2
1303486329_VERDE_334_S,1
1601094651_BIANCO_130_UNI,1
1603074280_BLU_405_S,1
1701021004_BEIGE_277_44,1
1701021004_BEIGE_277_46,2
KL20MBS01_AZZURRO_BLUE_S,22
KL20MBS01_AZZURRO_BLUE_M,9
1603363115_BIANCO_126_S,3
18011007308_BLU_410_35,7
1701432702_BLU_423_34,1
18034150054_GRIGIO_94_42,1
18033004320_BLU_410_S,1
19011000138_AZZURRO_437_35,3
19011000138_AZZURRO_437_40,1
1901205019_AZZURRO_448_30,2
1901200023_BLU_981_30,2
1901200023_BLU_981_31,2
1901200023_BLU_981_35,3
19017002537_BEIGE_277_S,1
19037705082_BLU_410_46,1
19037705082_BLU_410_48,1
1603414901_VIOLA_509_32-L32,1
1603414901_VIOLA_509_42-L32,1
1403414763_BLU_405_34-L32,1
M1RI37I3Z11_BIANCO_TWHT_2XL,20
J20J214157_NERO_0GL_XS,2
J20J214243_NERO_BAE_XS,2
YW0YW00014F_ROSA_TN9_36,1
YW0YW00014F_ROSA_TN9_37,3
YW0YW00014F_ROSA_TN9_38,1
18014150032_BEIGE_34_36,1
19013016532_BLU_441_S,1
1401410481_BEIGE_34_28-L34,2
1401410481_BEIGE_34_29-L34,1
1401410481_BEIGE_34_34-L34,1
1403450808_BLU_433_44,1
1701410273_BLU_410_27,2
1701410273_BLU_410_33,1
1701410273_BLU_410_34,1
1101476287_BLU_446_36,1
20013025530_ROSSO_620_S,1
1901021435_ROSSO_640_30,2
18012091012_BEIGE_208_S,9
18012091012_BEIGE_208_M,3
18012091012_BEIGE_208_L,5
AM0AM05219_BLU_LGY_UNI,9
1501094987_AZZURRO_440_UNI,1
KL20MBS01_NERO_BLACK_S,15
